date,r_waac
2019-09-05,0.002312583506974688
2019-09-06,0.0030097295241543445
2019-09-09,0.0041089250680130945
2019-09-10,0.004437213282786592
2019-09-11,0.0038318747461653707
2019-09-12,0.0035623311427271397
2019-09-16,0.003092811283194691
2019-09-17,0.004566575526111329
2019-09-18,0.004541957895773498
2019-09-19,0.004609663641512103
2019-09-20,0.005009627929680131
2019-09-23,0.005532279407234954
2019-09-24,0.0050983908563833865
2019-09-25,0.004827433968686788
2019-09-26,0.0039914016133485684
2019-09-27,0.00380574193786925
2019-09-30,0.005208217670327985
2019-10-08,0.004726404684438342
2019-10-09,0.004754855935360282
2019-10-10,0.005096915145615506
2019-10-11,0.0038409060213208594
2019-10-14,0.0020120677924683637
2019-10-15,0.000938060086210202
2019-10-16,0.001259875199115634
